airline_sentiment,count,mean,median,std
negative,9178,0.09337546306384834,0.0,0.7928646341026373
neutral,3099,0.06098741529525654,0.0,0.6580370133552614
positive,2363,0.06940330088870081,0.0,0.6599136071847662
